retailer_week,week_beginning,week_ending,last_year_retailer_week,last_year_week_ending,fiscal_week,fiscal_month,fiscal_year,calendar_month_name,calendar_month,calendar_year,quarter,week_offset,dsci_inserted_date,dsci_last_modified_date,dsci_last_loaded_date,dsci_last_pulled_date,fiscal_year_offset,calendar_year_offset,quarter_offset,calendar_month_offset,fiscal_month_offset,next_year_retailer_week,next_year_week_ending
201701,2017-01-28,2017-02-03,201601,2016-02-05,1,1,2017,February,2,2017,1,-272,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-5,-5,-20,-62,-62,201801,2018-02-02
201735,2017-09-23,2017-09-29,201635,2016-09-30,35,8,2017,September,9,2017,3,-238,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-5,-5,-18,-55,-55,201835,2018-09-28
201736,2017-09-30,2017-10-06,201636,2016-10-07,36,9,2017,October,10,2017,3,-237,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-5,-5,-18,-54,-54,201836,2018-10-05
201745,2017-12-02,2017-12-08,201645,2016-12-09,45,11,2017,December,12,2017,4,-228,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-5,-5,-17,-52,-52,201845,2018-12-07
201806,2018-03-03,2018-03-09,201706,2017-03-10,6,2,2018,March,3,2018,1,-215,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-4,-4,-16,-49,-49,201906,2019-03-08
201807,2018-03-10,2018-03-16,201707,2017-03-17,7,2,2018,March,3,2018,1,-214,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-4,-4,-16,-49,-49,201907,2019-03-15
201838,2018-10-13,2018-10-19,201738,2017-10-20,38,9,2018,October,10,2018,3,-183,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-4,-4,-14,-42,-42,201938,2019-10-18
201911,2019-04-06,2019-04-12,201811,2018-04-13,11,3,2019,April,4,2019,1,-158,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-3,-3,-12,-36,-36,202010,2020-04-10
201916,2019-05-11,2019-05-17,201816,2018-05-18,16,4,2019,May,5,2019,2,-153,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-3,-3,-11,-35,-35,202015,2020-05-15
202011,2020-04-11,2020-04-17,201912,2019-04-19,11,3,2020,April,4,2020,1,-105,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-2,-8,-24,-24,202111,2021-04-16
202017,2020-05-23,2020-05-29,201918,2019-05-31,17,4,2020,May,5,2020,2,-99,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-2,-7,-23,-23,202117,2021-05-28
202020,2020-06-13,2020-06-19,201921,2019-06-21,20,5,2020,June,6,2020,2,-96,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-2,-7,-22,-22,202120,2021-06-18
202023,2020-07-04,2020-07-10,201924,2019-07-12,23,6,2020,July,7,2020,2,-93,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-2,-7,-21,-21,202123,2021-07-09
202039,2020-10-24,2020-10-30,201940,2019-11-01,39,9,2020,October,10,2020,3,-77,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-2,-6,-18,-18,202139,2021-10-29
202044,2020-11-28,2020-12-04,201945,2019-12-06,44,11,2020,December,12,2020,4,-72,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-2,-5,-16,-16,202144,2021-12-03
202049,2021-01-02,2021-01-08,201950,2020-01-10,49,12,2020,January,1,2021,4,-67,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-2,-1,-5,-15,-15,202149,2022-01-07
202102,2021-02-06,2021-02-12,202002,2020-02-14,2,1,2021,February,2,2021,1,-62,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-1,-1,-4,-14,-14,202202,2022-02-11
202103,2021-02-13,2021-02-19,202003,2020-02-21,3,1,2021,February,2,2021,1,-61,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-1,-1,-4,-14,-14,202203,2022-02-18
202205,2022-02-26,2022-03-04,202105,2021-03-05,5,2,2022,March,3,2022,1,-7,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,0,0,0,-1,-1,202305,2023-03-03
202224,2022-07-09,2022-07-15,202124,2021-07-16,24,6,2022,July,7,2022,2,12,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,0,0,1,3,3,202324,2023-07-14
202228,2022-08-06,2022-08-12,202128,2021-08-13,28,7,2022,August,8,2022,3,16,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,0,0,2,4,4,202328,2023-08-11
202243,2022-11-19,2022-11-25,202143,2021-11-26,43,10,2022,November,11,2022,4,31,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,0,0,3,7,7,202343,2023-11-24
202247,2022-12-17,2022-12-23,202147,2021-12-24,47,11,2022,December,12,2022,4,35,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,0,0,3,8,8,202347,2023-12-22
202342,2023-11-11,2023-11-17,202242,2022-11-18,42,10,2023,November,11,2023,4,82,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,1,1,7,19,19,202442,2024-11-15
202426,2024-07-20,2024-07-26,202326,2023-07-28,26,6,2024,July,7,2024,2,118,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2,2,9,27,27,202525,2025-07-25
202502,2025-02-08,2025-02-14,202403,2024-02-16,2,1,2025,February,2,2025,1,147,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,3,3,12,34,34,202602,2026-02-13
202527,2025-08-02,2025-08-08,202428,2024-08-09,27,7,2025,August,8,2025,3,172,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,3,3,14,40,40,202627,2026-08-07
202534,2025-09-20,2025-09-26,202435,2024-09-27,34,8,2025,September,9,2025,3,179,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,3,3,14,41,41,202634,2026-09-25
202602,2026-02-07,2026-02-13,202502,2025-02-14,2,1,2026,February,2,2026,1,199,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,16,46,46,202702,2027-02-12
202605,2026-02-28,2026-03-06,202505,2025-03-07,5,2,2026,March,3,2026,1,202,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,16,47,47,202705,2027-03-05
202628,2026-08-08,2026-08-14,202528,2025-08-15,28,7,2026,August,8,2026,3,225,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,18,52,52,202728,2027-08-13
202629,2026-08-15,2026-08-21,202529,2025-08-22,29,7,2026,August,8,2026,3,226,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,18,52,52,202729,2027-08-20
202634,2026-09-19,2026-09-25,202534,2025-09-26,34,8,2026,September,9,2026,3,231,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,18,53,53,202734,2027-09-24
202635,2026-09-26,2026-10-02,202535,2025-10-03,35,8,2026,October,10,2026,3,232,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,18,54,53,202735,2027-10-01
202639,2026-10-24,2026-10-30,202539,2025-10-31,39,9,2026,October,10,2026,3,236,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,18,54,54,202739,2027-10-29
202641,2026-11-07,2026-11-13,202541,2025-11-14,41,10,2026,November,11,2026,4,238,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,4,4,19,55,55,202741,2027-11-12
202701,2027-01-30,2027-02-05,202601,2026-02-06,1,1,2027,February,2,2027,1,250,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,20,58,58,202801,2028-02-04
202703,2027-02-13,2027-02-19,202603,2026-02-20,3,1,2027,February,2,2027,1,252,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,20,58,58,202803,2028-02-18
202705,2027-02-27,2027-03-05,202605,2026-03-06,5,2,2027,March,3,2027,1,254,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,20,59,59,202805,2028-03-03
202709,2027-03-27,2027-04-02,202609,2026-04-03,9,2,2027,April,4,2027,1,258,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,20,60,59,202809,2028-03-31
202713,2027-04-24,2027-04-30,202613,2026-05-01,13,3,2027,April,4,2027,1,262,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,20,60,60,202813,2028-04-28
202726,2027-07-24,2027-07-30,202626,2026-07-31,26,6,2027,July,7,2027,2,275,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,21,63,63,202826,2028-07-28
202740,2027-10-30,2027-11-05,202640,2026-11-06,40,10,2027,November,11,2027,4,289,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,23,67,67,202840,2028-11-03
202746,2027-12-11,2027-12-17,202646,2026-12-18,46,11,2027,December,12,2027,4,295,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,23,68,68,202846,2028-12-15
202748,2027-12-25,2027-12-31,202648,2027-01-01,48,11,2027,December,12,2027,4,297,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,5,5,23,68,68,202848,2028-12-29
202811,2028-04-08,2028-04-14,202711,2027-04-16,11,3,2028,April,4,2028,1,312,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,6,6,24,72,72,202911,2029-04-13
202827,2028-07-29,2028-08-04,202727,2027-08-06,27,7,2028,August,8,2028,3,328,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,6,6,26,76,76,202927,2029-08-03
202835,2028-09-23,2028-09-29,202735,2027-10-01,35,8,2028,September,9,2028,3,336,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,6,6,26,77,77,202935,2029-09-28
202845,2028-12-02,2028-12-08,202745,2027-12-10,45,11,2028,December,12,2028,4,346,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,6,6,27,80,80,202945,2029-12-07
202927,2029-07-28,2029-08-03,202827,2028-08-04,27,7,2029,August,8,2029,3,380,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,7,7,30,88,88,203027,2030-08-02
202929,2029-08-11,2029-08-17,202829,2028-08-18,29,7,2029,August,8,2029,3,382,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,7,7,30,88,88,203029,2030-08-16
202942,2029-11-10,2029-11-16,202842,2028-11-17,42,10,2029,November,11,2029,4,395,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,7,7,31,91,91,203042,2030-11-15
203010,2030-03-30,2030-04-05,202910,2029-04-06,10,3,2030,April,4,2030,1,415,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,8,8,32,96,96,203109,2031-04-04
203016,2030-05-11,2030-05-17,202916,2029-05-18,16,4,2030,May,5,2030,2,421,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,8,8,33,97,97,203115,2031-05-16
203023,2030-06-29,2030-07-05,202923,2029-07-06,23,6,2030,July,7,2030,2,428,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,8,8,33,99,99,203122,2031-07-04
203033,2030-09-07,2030-09-13,202933,2029-09-14,33,8,2030,September,9,2030,3,438,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,8,8,34,101,101,203132,2031-09-12
203128,2031-08-09,2031-08-15,203029,2030-08-16,28,7,2031,August,8,2031,3,486,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,9,9,38,112,112,203228,2032-08-13
203135,2031-09-27,2031-10-03,203036,2030-10-04,35,8,2031,October,10,2031,3,493,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,9,9,38,114,113,203235,2032-10-01
203202,2032-02-07,2032-02-13,203102,2031-02-14,2,1,2032,February,2,2032,1,512,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,10,10,40,118,118,203302,2033-02-11
203213,2032-04-24,2032-04-30,203113,2031-05-02,13,3,2032,April,4,2032,1,523,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,10,10,40,120,120,203313,2033-04-29
203224,2032-07-10,2032-07-16,203124,2031-07-18,24,6,2032,July,7,2032,2,534,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,10,10,41,123,123,203324,2033-07-15
203231,2032-08-28,2032-09-03,203131,2031-09-05,31,8,2032,September,9,2032,3,541,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,10,10,42,125,125,203331,2033-09-02
203235,2032-09-25,2032-10-01,203135,2031-10-03,35,8,2032,October,10,2032,3,545,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,10,10,42,126,125,203335,2033-09-30
203330,2033-08-20,2033-08-26,203230,2032-08-27,30,7,2033,August,8,2033,3,592,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,11,11,46,136,136,203430,2034-08-25
203331,2033-08-27,2033-09-02,203231,2032-09-03,31,8,2033,September,9,2033,3,593,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,11,11,46,137,137,203431,2034-09-01
203339,2033-10-22,2033-10-28,203239,2032-10-29,39,9,2033,October,10,2033,3,601,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,11,11,46,138,138,203439,2034-10-27
203350,2034-01-07,2034-01-13,203250,2033-01-14,50,12,2033,January,1,2034,4,612,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,11,12,47,141,141,203450,2035-01-12
203407,2034-03-11,2034-03-17,203307,2033-03-18,7,2,2034,March,3,2034,1,621,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,12,12,48,143,143,203507,2035-03-16
203411,2034-04-08,2034-04-14,203311,2033-04-15,11,3,2034,April,4,2034,1,625,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,12,12,48,144,144,203511,2035-04-13
203418,2034-05-27,2034-06-02,203318,2033-06-03,18,5,2034,June,6,2034,2,632,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,12,12,49,146,146,203518,2035-06-01
203425,2034-07-15,2034-07-21,203325,2033-07-22,25,6,2034,July,7,2034,2,639,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,12,12,49,147,147,203525,2035-07-20
203430,2034-08-19,2034-08-25,203330,2033-08-26,30,7,2034,August,8,2034,3,644,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,12,12,50,148,148,203530,2035-08-24
203506,2035-03-03,2035-03-09,203406,2034-03-10,6,2,2035,March,3,2035,1,672,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,13,13,52,155,155,203606,2036-03-07
203512,2035-04-14,2035-04-20,203412,2034-04-21,12,3,2035,April,4,2035,1,678,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,13,13,52,156,156,203612,2036-04-18
